"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","47uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2",""
"C3,C4,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18","100nF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","12",""
"C5,C8","100pF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","2",""
"C6,C7","1uF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","2",""
"D1,D2","SB140","http://www.diodes.com/_files/datasheets/ds23022.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"D3,D4,D5,D6","1N5240","~","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","4",""
"J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11","TS_Jack_6.35mm_Sw","~","SynthStuff:CUI_MJ-63052A","11",""
"J101","IDC_02x08","~","SynthStuff:IDC-Header_2x08_P2.54mm_Vertical_Eurorack","1",""
"J200","IDC_02x05","~","SynthStuff:IDC-Header_2x05_P2.54mm_Vertical_BackBone","1",""
"Q1,Q5","BC548","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92L_Inline_Wide","2",""
"Q2,Q6","BC558","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf","Package_TO_SOT_THT:TO-92_Inline","2",""
"Q3,Q7","BC558","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf","Package_TO_SOT_THT:TO-92L_Inline_Wide","2",""
"Q4,Q8","BC548","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_Inline","2",""
"R1","10M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R2,R5,R9,R18,R19,R33,R34,R41,R42,R44,R48","100k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","11",""
"R3,R4","33k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R6,R20,R21,R22,R23,R28,R29,R30,R31,R46","56k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","10",""
"R7,R8,R43,R47","2k7","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R10,R11,R39,R45","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R12,R37","1M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R13,R38","470k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R14,R40","3k3","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R15,R16,R17,R32,R35,R36","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","6",""
"R24,R25,R26,R27","47k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R49,R50","150R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"RV1,RV3","50k","~","Potentiometer_THT:Potentiometer_Bourns_3296X_Horizontal","2",""
"RV2,RV4","100k","~","SynthStuff:Potentiometer_TT_P110KH1","2",""
"RV5,RV6","100k","~","Potentiometer_THT:Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical","2",""
"SW1,SW2,SW3","SW_SPDT","~","SynthStuff:Toggle_Switch_TE","3",""
"U1,U3,U4","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-14_W7.62mm_Socket","3",""
"U2","TL072","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-8_W7.62mm_Socket","1",""
"U5,U6","CD4053B","http://www.ti.com/lit/ds/symlink/cd4052b.pdf","Package_DIP:DIP-16_W7.62mm_Socket","2",""
"U7,U8","LM4040LP-10","http://www.ti.com/lit/ds/symlink/lm4040-n.pdf","Package_TO_SOT_THT:TO-92_Inline","2",""
